group,function,value,sample_time_nanos,iteration_count
compare swaption tree,tree,50,2562102.0,1
compare swaption tree,tree,50,4940704.0,2
compare swaption tree,tree,50,7206105.0,3
compare swaption tree,tree,50,9929308.0,4
compare swaption tree,tree,50,12036509.0,5
compare swaption tree,tree,50,16185212.0,6
compare swaption tree,tree,50,18666415.0,7
compare swaption tree,tree,50,20073215.0,8
compare swaption tree,tree,50,25714120.0,9
compare swaption tree,tree,50,26386520.0,10
compare swaption tree,tree,50,28959422.0,11
compare swaption tree,tree,50,30116123.0,12
compare swaption tree,tree,50,33172026.0,13
compare swaption tree,tree,50,38960729.0,14
compare swaption tree,tree,50,38835530.0,15
compare swaption tree,tree,50,39552730.0,16
compare swaption tree,tree,50,42736333.0,17
compare swaption tree,tree,50,44060234.0,18
compare swaption tree,tree,50,47481336.0,19
compare swaption tree,tree,50,54124542.0,20
compare swaption tree,tree,50,55122142.0,21
compare swaption tree,tree,50,64801850.0,22
compare swaption tree,tree,50,57731444.0,23
compare swaption tree,tree,50,64478849.0,24
compare swaption tree,tree,50,65130250.0,25
compare swaption tree,tree,50,67503352.0,26
compare swaption tree,tree,50,68453352.0,27
compare swaption tree,tree,50,76630059.0,28
compare swaption tree,tree,50,86707866.0,29
compare swaption tree,tree,50,79234061.0,30
compare swaption tree,tree,50,78981360.0,31
compare swaption tree,tree,50,79851061.0,32
compare swaption tree,tree,50,80843662.0,33
compare swaption tree,tree,50,84533265.0,34
compare swaption tree,tree,50,95716973.0,35
compare swaption tree,tree,50,90986469.0,36
compare swaption tree,tree,50,97278375.0,37
compare swaption tree,tree,50,96080573.0,38
compare swaption tree,tree,50,99380076.0,39
compare swaption tree,tree,50,115907889.0,40
compare swaption tree,tree,50,111019684.0,41
compare swaption tree,tree,50,119280791.0,42
compare swaption tree,tree,50,107254182.0,43
compare swaption tree,tree,50,108618783.0,44
compare swaption tree,tree,50,120700192.0,45
compare swaption tree,tree,50,117774090.0,46
compare swaption tree,tree,50,117521190.0,47
compare swaption tree,tree,50,121888993.0,48
compare swaption tree,tree,50,131177900.0,49
compare swaption tree,tree,50,126006696.0,50
compare swaption tree,tree,50,125576996.0,51
compare swaption tree,tree,50,127662697.0,52
compare swaption tree,tree,50,140073707.0,53
compare swaption tree,tree,50,151951816.0,54
compare swaption tree,tree,50,140397007.0,55
compare swaption tree,tree,50,145754111.0,56
compare swaption tree,tree,50,141549007.0,57
compare swaption tree,tree,50,146030012.0,58
compare swaption tree,tree,50,145886111.0,59
compare swaption tree,tree,50,158067720.0,60
compare swaption tree,tree,50,153646817.0,61
compare swaption tree,tree,50,162331023.0,62
compare swaption tree,tree,50,166628427.0,63
compare swaption tree,tree,50,160373822.0,64
compare swaption tree,tree,50,162481924.0,65
compare swaption tree,tree,50,169891329.0,66
compare swaption tree,tree,50,169437628.0,67
compare swaption tree,tree,50,168384428.0,68
compare swaption tree,tree,50,183423940.0,69
compare swaption tree,tree,50,173459331.0,70
compare swaption tree,tree,50,179010836.0,71
compare swaption tree,tree,50,191644646.0,72
compare swaption tree,tree,50,181756337.0,73
compare swaption tree,tree,50,188986844.0,74
compare swaption tree,tree,50,190795444.0,75
compare swaption tree,tree,50,199003651.0,76
compare swaption tree,tree,50,206754457.0,77
compare swaption tree,tree,50,199616451.0,78
compare swaption tree,tree,50,205451756.0,79
compare swaption tree,tree,50,206013656.0,80
compare swaption tree,tree,50,197304749.0,81
compare swaption tree,tree,50,215575263.0,82
compare swaption tree,tree,50,220242867.0,83
compare swaption tree,tree,50,223329768.0,84
compare swaption tree,tree,50,234022377.0,85
compare swaption tree,tree,50,232503376.0,86
compare swaption tree,tree,50,240666682.0,87
compare swaption tree,tree,50,227338771.0,88
compare swaption tree,tree,50,241998783.0,89
compare swaption tree,tree,50,234128077.0,90
compare swaption tree,tree,50,238776680.0,91
compare swaption tree,tree,50,238880680.0,92
compare swaption tree,tree,50,244072384.0,93
compare swaption tree,tree,50,248861787.0,94
compare swaption tree,tree,50,257902795.0,95
compare swaption tree,tree,50,244757784.0,96
compare swaption tree,tree,50,245151284.0,97
compare swaption tree,tree,50,246886086.0,98
compare swaption tree,tree,50,264526099.0,99
compare swaption tree,tree,50,249005587.0,100
