group,function,value,sample_time_nanos,iteration_count
compare swaption tree,analytical,200,949601.0,38
compare swaption tree,analytical,200,2008002.0,76
compare swaption tree,analytical,200,3601503.0,114
compare swaption tree,analytical,200,3671802.0,152
compare swaption tree,analytical,200,4579104.0,190
compare swaption tree,analytical,200,6303605.0,228
compare swaption tree,analytical,200,6922605.0,266
compare swaption tree,analytical,200,7886306.0,304
compare swaption tree,analytical,200,8162707.0,342
compare swaption tree,analytical,200,9829107.0,380
compare swaption tree,analytical,200,10954109.0,418
compare swaption tree,analytical,200,11814109.0,456
compare swaption tree,analytical,200,13202511.0,494
compare swaption tree,analytical,200,13441910.0,532
compare swaption tree,analytical,200,14976212.0,570
compare swaption tree,analytical,200,15899512.0,608
compare swaption tree,analytical,200,16404313.0,646
compare swaption tree,analytical,200,16958613.0,684
compare swaption tree,analytical,200,18404015.0,722
compare swaption tree,analytical,200,19720415.0,760
compare swaption tree,analytical,200,21157817.0,798
compare swaption tree,analytical,200,22187217.0,836
compare swaption tree,analytical,200,23340418.0,874
compare swaption tree,analytical,200,23494218.0,912
compare swaption tree,analytical,200,25197820.0,950
compare swaption tree,analytical,200,24810919.0,988
compare swaption tree,analytical,200,26692721.0,1026
compare swaption tree,analytical,200,28321422.0,1064
compare swaption tree,analytical,200,28798623.0,1102
compare swaption tree,analytical,200,29675923.0,1140
compare swaption tree,analytical,200,30737324.0,1178
compare swaption tree,analytical,200,34934427.0,1216
compare swaption tree,analytical,200,34771827.0,1254
compare swaption tree,analytical,200,33931727.0,1292
compare swaption tree,analytical,200,35429227.0,1330
compare swaption tree,analytical,200,35591928.0,1368
compare swaption tree,analytical,200,41202332.0,1406
compare swaption tree,analytical,200,37601230.0,1444
compare swaption tree,analytical,200,39803731.0,1482
compare swaption tree,analytical,200,39157230.0,1520
compare swaption tree,analytical,200,40094631.0,1558
compare swaption tree,analytical,200,42264233.0,1596
compare swaption tree,analytical,200,42788634.0,1634
compare swaption tree,analytical,200,45277935.0,1672
compare swaption tree,analytical,200,51597240.0,1710
compare swaption tree,analytical,200,46708237.0,1748
compare swaption tree,analytical,200,53651942.0,1786
compare swaption tree,analytical,200,47874537.0,1824
compare swaption tree,analytical,200,47558437.0,1862
compare swaption tree,analytical,200,48387138.0,1900
compare swaption tree,analytical,200,52861541.0,1938
compare swaption tree,analytical,200,51289740.0,1976
compare swaption tree,analytical,200,43820734.0,2014
compare swaption tree,analytical,200,42600433.0,2052
compare swaption tree,analytical,200,44885635.0,2090
compare swaption tree,analytical,200,46964037.0,2128
compare swaption tree,analytical,200,44462234.0,2166
compare swaption tree,analytical,200,45604136.0,2204
compare swaption tree,analytical,200,47501237.0,2242
compare swaption tree,analytical,200,47402737.0,2280
compare swaption tree,analytical,200,48809938.0,2318
compare swaption tree,analytical,200,48024737.0,2356
compare swaption tree,analytical,200,48922738.0,2394
compare swaption tree,analytical,200,50333439.0,2432
compare swaption tree,analytical,200,51675941.0,2470
compare swaption tree,analytical,200,61685348.0,2508
compare swaption tree,analytical,200,59984746.0,2546
compare swaption tree,analytical,200,58064345.0,2584
compare swaption tree,analytical,200,55602744.0,2622
compare swaption tree,analytical,200,55957843.0,2660
compare swaption tree,analytical,200,61207348.0,2698
compare swaption tree,analytical,200,59023146.0,2736
compare swaption tree,analytical,200,60437247.0,2774
compare swaption tree,analytical,200,66668052.0,2812
compare swaption tree,analytical,200,63830349.0,2850
compare swaption tree,analytical,200,63751350.0,2888
compare swaption tree,analytical,200,67200652.0,2926
compare swaption tree,analytical,200,63304649.0,2964
compare swaption tree,analytical,200,62870049.0,3002
compare swaption tree,analytical,200,62741549.0,3040
compare swaption tree,analytical,200,65261151.0,3078
compare swaption tree,analytical,200,69058653.0,3116
compare swaption tree,analytical,200,68001453.0,3154
compare swaption tree,analytical,200,70146155.0,3192
compare swaption tree,analytical,200,70209854.0,3230
compare swaption tree,analytical,200,73134457.0,3268
compare swaption tree,analytical,200,69665454.0,3306
compare swaption tree,analytical,200,76008759.0,3344
compare swaption tree,analytical,200,77596661.0,3382
compare swaption tree,analytical,200,72790256.0,3420
compare swaption tree,analytical,200,72435756.0,3458
compare swaption tree,analytical,200,74006058.0,3496
compare swaption tree,analytical,200,74289657.0,3534
compare swaption tree,analytical,200,74068458.0,3572
compare swaption tree,analytical,200,73976457.0,3610
compare swaption tree,analytical,200,84345266.0,3648
compare swaption tree,analytical,200,77601860.0,3686
compare swaption tree,analytical,200,80086562.0,3724
compare swaption tree,analytical,200,80844163.0,3762
compare swaption tree,analytical,200,83263965.0,3800
